"晴蘭","有必要泼一下冷水：不是黑，作为期待已久的诚哥新作，很失望。整体结构完全比不上君名，剧情很迷很迷，一如既往精致的画面和比前作更好听的音乐都撑不起这个故事。男女主角的相遇、连接以及彼此之间的感情太过苍白，全靠男主令人厌倦的呐喊来刻意强调。此外，几乎所有的冲突都制造在和警察（剧中反派？）的对立上，显得莫名其妙甚至有点引人不快。看似更宏大的“世界系”设定，最终还是落在了小格局上。"
"小小甜甜猪猪","带着很大的期待去看的，完全无法代入感情。怎么看就是一个离家出走的小孩在胡闹啊。首先离开家的原因也没有交代，男女主角之间的感情也很模糊，最后拿着一把枪乱来，不管是什么原因持枪就是不对吧，而理由只是“我要去找女主！”拜托，不要再自私的给大家添麻烦了…牺牲些什么交换超能力也是老梗了吧"
"本雅明不配钦自","由中二癌出演的东京马拉松宣传片。（"世界变成这样不是任何人的错哟！"）（神社前放了一年的茄子一点不会爛。）"
"木卫二","新海诚版「少年的你」。冬雷震震夏雨雪，天地合乃敢与君绝。真别看不起琼瑶阿姨，这出大型中二天气系动画片，本质上就是一个动不动就哭鼻子的矫情玩意啊。借都市传说，附会上东京原是大海的梗挺好，实际上怎么看都是新海诚要展现他好美好美的七彩光谱作画大法。晴女奉献自己毫无情感动机，连讨对方欢喜都说不上——仅仅好像是大家好像不喜欢下雨🌧️而已。救对方的感动东京过程表演更是做作到接不上戏（跑铁轨、老哥几次反水）。最噩梦的是表现方式，动不动就哭，大插歌曲，老土到渣的闪回方式，真的太可怕啦。把动画片当通俗言情剧拍没什么问题，但能不能别搞得这么没追求。"
"有酒方能意识流","恕我直言十五六岁的中二小屁孩讲什么大情大爱？男女主咆哮泪眼汪汪的时候，我真的只有三条黑线，一如既往get不到他的点。"
"萨库拉","叙事永远想到一出是一出。新海诚真是没经过什么挫折也不了解真正苦痛的公子哥，他的精神内核从来不是中二，而是无病呻吟。"
"大奇特(Grinch)","新海诚电影有个致命问题，他对城市环境和生活细节过分精雕细琢，经常会忽视人物主体的情感交流。不仅人物交流时的眼神是空洞的，而且总在人物对话时，穿插所处环境的细致描绘，甚至着迷于远景或眼花缭乱的空镜，这些无时无刻不在打断人物状态。举个例子，帆高初到阳菜家，镜头那个稀碎，各种生活细节和场景介绍，完全没有照顾到二人谈话的情绪，对话剪辑又总是采用不同角度，真要命。"
"ぼんやりのリン","新海诚让我保持愤怒"
"潘妮妮","愣是给我讲了个女娲补天的故事？强行展开的剧情和套模板的台词音乐插入，诚哥还是当年那个只注重画面不会讲故事的诚哥，只不过这次画面也没搞好，几个谜之3D太掉价了"
"DoubleHelix","从头尬到尾，在新宿toho看的，附近全是取景地，请问你能从池袋跑到代代木吗？新海诚你特么不能好好写个失去能力再因为爱重新获得能力，或者为了爱成为普通人的故事吗？想着不落俗套然后往垃圾桶里跳。"
"西蔚","太难看了太难看了太难看了……整部片子中二到了完全没有常识、忽视一切逻辑的地步，是任何意义上的灾难片。多一颗星给结尾credit里的花泽香菜小姐和花泽綾音小姐。"
