"guohot","刚看完，这剧情真是迷之又迷，不迷的地方狗血的可以，日本警察应该集体抗议这部片"
"同志亦凡人中文站","跟“你的名字”相比退步了，依然是画风绝美但讲故事能力为零的新海诚。太多逻辑硬伤、东拉西扯的剧情以及强行圆满的结局。“只要我们能恋爱、哪管洪水滔天”的世界观让我目瞪口呆~"
"小南","3.5。诚哥啊这次文本真的太弱了……开场前EVA的贴片预告都让我虎躯一震立民党的广告动画甚至让我热泪盈眶到了正片能让我感同身受的只有湿乎乎的东京和每天必经的街道。节奏形态一切都在意料之中商业的模式化确实带来了不少便利但我无法被预设好的感动吸引。认真看完所有人员名单才退场凝聚了这么多人心血的作品确实是精美的、安全的值得收回成本。所以下次来点大胆好玩的好不好……"
"CannedFish","在我心里新海诚作品还是以文学性为代表，我不太接受它的商业片化。这部天气之子的模式化在君名之上更攀一层，讲述了一个并不是特别有趣的故事，同时将以往的内敛的文学性表达将至了新低。虽然一镜一帧还是那样的美，甚至更加美了，但它并没能衍生出更多令人动容的意象，能够触景生情才是最好的美。还是一样的细腻画面，还是一样的插入曲手法，但角色平板化，故事模式化，总不免感到一丝疲惫。不过这次可以明显看出更大胆的剪辑，途中甚至数次出现长达近10秒的黑屏，意在让人沉淀与回味。令我印象最深是第一次开枪时的桥段，表达把握得非常棒.再有就是双人坠落的那一镜，个人认为它是这部剧的核心高潮了，拍得也非常棒，只可惜有些戛然而止。因自己过高期待的落差而打下三星，对情感的挖掘和表达差了《秒五》太多太多，离别也沦为一个没有内核的形式躯壳"
"凌睿","遇见你之前，我的人生是阴天；遇见你之后，我的人生变成了晴天。比起晴空，我更需要你。只要有你在，每一天都是晴天。"
"亡招菌","真是有些看够了这种我不想我不想不想长大的戏码"
"yokoego","写的是什么那是真的看不懂了我对男主能从池袋跑到代代木是很服气的他还是在山手线上跑的蛮聪明的毕竟不是东京人所以会迷路（本片我觉得最合情合理的地方"
"法兰西胶片","所谓壁纸狂魔的时代已经过去了，CG的侵蚀越来越大，直男中二的弱点又没有修正，迫不及待地做起了商人，有点伤人。"
"西楼尘","盂兰盆节跨过魂火，去世的人就能出现；天空之上穿过鸟居，透明的她就能回来。人类习惯用适应与否推断天气的正常，恰是剪断了人类与天空牵连的细线。若你不是治疗天气的巫女，便不必承受透明的命运。若被水淹掉是世界的宿命，我们是否要联手改变天气的形态。你我是天地间的过客，爱才是放晴的唯一条件。"
"V.Dunham","和《你的名字》近似的世界观，少年荷尔蒙和世界秩序的博弈。《你的名字》以个人意志逆转自然灾害得以动情在于伦理上的合法性，《天气之子》欲破环的却是成人世界的交换原则，责任感的丢失让它的幼稚鲁莽更为刺眼。"
"嘟嘟熊之父","这是被抹去前史的春光灿烂猪八戒与小龙女的故事。以前的新海诚是笑中带泪，这一部是破涕为笑，一种荒谬到极致以至于火冒三丈却寻不到愤怒源头的奇妙观感。"
"牛岛若利","画面和音乐满分，剧情节奏还是新海诚的痛点。似乎是抓住了大众对于君名喜爱的点，然后把所有的元素都塞进去密集地煽情，丝毫不管人物逻辑的合理性。男主沿着山手线徒步池袋跑到代代木，长达两分钟的双人煽情跳伞，剧本可能是琼瑶写的。新海诚说的很对，这确实会是一部评价两极分化的作品，在画面做到极致的同时，剧情仿佛失忆，灾难性地为了达到煽情目的向前推进。新海还是没有跳出君名的框架——或者他根本没想跳出来。"
"伊谢尔伦的风","有人看麦田里的守望者写出了攻壳机动队SAC，有人写出了天气之子，人类真是丰富多彩。"
"寂地","画面很星海城。他多年的努力也让人敬佩。刻意制造的戏剧冲突看得人很难受。强行感动和强行温情。强行高潮的刺耳音乐。也许已经是现在很好的日本动画。但营销团队不要再拿这种追求商业化的动画片和宫崎骏比了。内涵艺术和审美，创造力和想象力，压根比不上宫崎骏。"
"胸口碎大石","7，这才是真正的倾城之恋！已经把东京祸害成这样了，我不允许你们不在一起！！！"
"千早立夏警部殿","文本糟糕，内容贫瘠，欠缺必要的戏剧冲突。但是，我想新海诚动画到如今的意义已经超过了所谓轻科幻，小清新，少年少女情。重点是你和谁一起去看这部电影吧，如果你身边有个像三叶或者阳菜一样的少女，和她一起去穿越电影里出现的阴晴雨雪，那才是电影的意义吧。"
"哼哼.floweray","有一种“精致”的中年油腻：对少年韶华的“流连忘返”，对唯美绝艳的“接二连三”，对酥胸玉峰的“诙谐调侃”，对久别重逢的“孜孜不倦”。属于新海诚的诠释。"
"焚紙樓","2.5。又名『新海誠本人教你拍一部嘲弄「新海誠電影」的電影』。「世界系」被粗暴的鑲嵌回「世界」這個母體，世界系的每種美好傳統都在是配角也是觀眾的現實目光的滲透之下，暴露出它本來的面目──是的，「本來」。你曾為男主的聖母性格感到不耐嗎？曾為女主的最終抉擇閃過一絲太自私了吧的喃念嗎？恭喜，你已從世界系之中畢業。只是，畢業後迎接的，是肩膀更有力量的喜悅，還是沒有比世紀末更好的終日烏雨？追隨《星之聲》而來的我等沒有答案。"
"欢乐分裂","2.5；中二版「少年的你」，变（退）奏（步）体「你的名字」，新海诚才是真·永远的少年，永远在自制的浪（矫）漫（情）中圆纯情纯爱之梦。帧帧画面绝美，烟花盛放，盛夏雪景，天空之城，上天入地的赴汤蹈火的少年之爱，当真感天动地“改变了世界的形态”；然而声势浩大，格局却越缩越小，收尾更是潦草，浪费了“将生命与天空相连”的概念，诚哥的文本弱项始终未改，若砍成中短片更好。另，请赐一个晴女给大雨倾城的冬日上海或六月梅雨季。"
"All that 幽幻","6.6如此精致的作画自然是可以吹一年的，但这掩盖不了剧情的中二和空洞，过度的音乐非但没有提升情绪，反而因为太mv化而削弱了情感，所幸歌还算好听，结局有点感动。"
"KK Green","是人们改变了世界还是世界改变了人们如果长成大人就意味着彻底抛开曾经的一心一意和义无反顾那少年心气的消逝真是可悲的选择呢画面依旧那么美比起秒速和君名更进一步少年狂奔的脚步也重击了我的心煽情点如期而至却并不反感但除此之外新海诚这次的故事真是直白到小学生都能构建类似世界观节奏也很迷中段关键时刻我竟然睡着了还有配乐真的满到观众感情调不动……这么形式清新内核干瘪真的好吗？"
"ZeonGin Sou","都市童话。纯爱故事。假如你不喜欢，大概率是因为，用过度成人的眼光去看待了。几次反水的大叔——“你妈觉得你冷”——其实就是我们成年人的眼光。青春期的孩子嘛，一往无前才是他们年纪适合的注脚。某种程度上跟《企鹅公路》重合甚多，但显然，《企鹅公路》切入点更加富有魅力。"
"GA","😑"
"宇宙电影患者","基本是复刻了一遍你的名字，星海城的作品口碑仁者见仁不过主题一直在变，这次怕是尝到你的名字甜头就是奔着求稳创收去的，画面也是汇总了自己以往的风格，值得一看吧"
"Ben","跟你的名字一脉相承，三年、东京、永远比女主漂亮的女二、还有导演对胸的执念，设定和格局偏小，导致诚哥叙事凌乱在这一部放大，感情强行烘托，电影里的男男女女哭的梨花带雨，我在台下看的内心毫无波动，甚至感到聒噪。惊喜是分镜头的快速剪辑很完美，3d的场景切换自如，技术上越来越好看了，配乐一如既往的抓耳，但是配合刻意营造的情绪显得突兀"
"黄色的林二","又名《帝女魃》、《为了爱情哪怕洪水滔天》、《东京沉没》、《第一幕出现一把枪，第三幕也就用来听个响》、《少年的你东京版》、《我只是个短片，新海诚把我拉长了》等等"
"The Wanted","场景很美，至于剧情的逻辑真的太迷了，感性上也完全没有感动的点啊"
"胖官","可能之前一直被说感情太浅尝辄止了，诚哥这次真的来了个大爆发，不止《你的名字》男女主出镜，这次男女主的爱中二热烈到我这根老油条一直噫个不停。设定奇奇怪怪的，本质还是东漂爱情故事，且又是熟悉的宫崎骏感。要是北京像东京这样一直一直一直下雨，我会开心死的。"
"Enjolras","画面上还是那个新海诚，故事上又回到了《你的名字》之前那个新海诚，倒是RADWIMPS的配乐依旧出色，几将全片变成了一支唯美mv。《你的名字》中的主人公立花泷和宫水三叶也友情出镜，有趣的是，这两人当年交换身体的时间差是三年，而《天气之子》中的两位主人公重逢又要等三年，这难道就是传说中的“三年之后又三年”？难道新海诚看过《无间道》？"
"洞🕳️","很奇怪，跟《少年的你》竟然也能互文"
"安短","还是那个大操大办的新海诚，滥用配乐的新海诚，只要画面美到足够宣泄情绪的话故事什么的都去见鬼吧的新海诚——唯美系，不能再高了。"
"人类学科研究员","我哭了，但是还是觉得太过于狗血。我觉得《你的名字》火了以后新海诚大哥是不是走进了什么误会的漩涡，还是希望多一些《言叶之庭》一般的感动，而不是动不动就穿越献身拯救/毁灭全世界。丰满下爱情本身吧，而不是外界因素。"
"三藐三葡萄","友情提示，以下人员请谨慎观影：1.恐水症患者2.唯物论坚定者3.气象学专家4.知乎长期用户5.坚定学业者6.单身人士"
"神迦乐小舞","低配你名，诚哥再次跌落神坛。"
"闪闪惹人爱","又散又乱也完全不感人，也就比你的名字差了100个言叶之庭吧，但是天上的画面是蛮好看的。而且感觉雅虎知惠袋和池袋警察署可以给新海诚发律师函了吧，怀疑海哥收了钱专门来黑他们的。"
"Yeraz","又退回到绝美画风弱剧情的新海诚。奇幻设定，但是完全不像《你的名字》那样有迹可循，男女主形象也很模糊，不管不顾排他的爱情来得过于突然，连我这种认可白娘子水漫金山行为的人都完全无法感同身受的恋爱观与伦理视角。"
"凹凸","谜一般的走势起-落-大起-大落如果没有最后十分钟的彻底崩坏完全可以多给一星"
"mindpixel","雨一直下，气氛不融洽…"
